Fixed on A drive,B drive,New mooring name,Mooring site,Old B drive name,Old wave name ,New wave name ,# files,size GB
,B17,AW14_AU_UN01,UN01,AW14_AU_BS4,AU-AWBS04-YYMMDD-HHMMSS,AU-AWUN01-YYMMDD-HHMMSS,13120,240
,B16,AW14_AU_BS05,BS05,AW14_AU_BS5,AU-AWBS05-YYMMDD-HHMMSS,AU-AWBS05-YYMMDD-HHMMSS,16200,296
A17,B16,AW14_AU_CL01,CL01,AW14_AU_CL1,AU-AWCL01-YYMMDD-HHMMSS,AU-AWCL01-YYMMDD-HHMMSS,13792,252
A17,B12,AW14_AU_IC01,IC01,AW14_AU_IC1,AU-AWIC01-YYMMDD-HHMMSS,AU-AWIC01-YYMMDD-HHMMSS,13744,251
A17,B12,AW14_AU_KZ01,KZ01,AW14_AU_KZ1,AU-AWKZ01-YYMMDD-HHMMSS,AU-AWKZ01-YYMMDD-HHMMSS,13888,254
,B15,AW14_AU_NM01,NM01,AW14_AU_NM1,AU-AWNM01-YYMMDD-HHMMSS,AU-AWNM01-YYMMDD-HHMMSS,12768,233
,B16,AW14_AU_PB01,PB01,AW14_AU_PB1,AU-AWPB01-YYMMDD-HHMMSS,AU-AWPB01-YYMMDD-HHMMSS,13392,245
A17,B12,AW14_AU_PH01,PH01,AW14_AU_PH1,AU-AWPH01-YYMMDD-HHMMSS,AU-AWPH01-YYMMDD-HHMMSS,14176,259
,B15,AW14_AU_WT01,WT01,AW14_AU_WT1,AU-AWWT01-YYMMDD-HHMMSS,AU-AWWT01-YYMMDD-HHMMSS,12976,237
A18,B18,AW15_AU_BF02,BF02,AW15_AU_BF2,AU-AWBF02-YYMMDD-HHMMSS,AU-AWBF02-YYMMDD-HHMMSS,13760,251
A18,B18,AW15_AU_BF03,BF03,AW15_AU_BF3,AU-AWBF03-YYMMDD-HHMMSS,AU-AWBF03-YYMMDD-HHMMSS,13760,251
A18,B18,AW15_AU_BS01,BS01,AW15_AU_BS1,AU-AWBS01-YYMMDD-HHMMSS,AU-AWBS01-YYMMDD-HHMMSS,14064,257
A19,B18,AW15_AU_BS02,BS02,AW15_AU_BS2,AU-AWBS02-YYMMDD-HHMMSS,AU-AWBS02-YYMMDD-HHMMSS,14064,257
A19,B17,AW15_AU_BS03,BS03,AW15_AU_BS3,AU-AWBS03-YYMMDD-HHMMSS,AU-AWBS03-YYMMDD-HHMMSS,14080,257
A19,B17,AW15_AU_UN01,UN01,AW15_AU_BS4,AU-AWBS04-YYMMDD-HHMMSS,AU-AWUN01-YYMMDD-HHMMSS,14096,258
A20,B22,AW15_AU_CL01,CL01,AW15_AU_CL1,AU-AWCL01-YYMMDD-HHMMSS,AU-AWCL01-YYMMDD-HHMMSS,21520,394
A18,B18,AW15_AU_IC01,IC01,AW15_AU_IC1,AU-AWIC01-YYMMDD-HHMMSS,AU-AWIC01-YYMMDD-HHMMSS,13936,255
A18,B18,AW15_AU_KZ01,KZ01,AW15_AU_KZ1,AU-AWKZ01-YYMMDD-HHMMSS,AU-AWKZ01-YYMMDD-HHMMSS,14048,257
A18,B18,AW15_AU_NM01,NM01,AW15_AU_NM1,AU-AWNM01-YYMMDD-HHMMSS,AU-AWNM01-YYMMDD-HHMMSS,14560,266
A18,B18,AW15_AU_NS01,NS01,AW15_AU_NS1,AU-AWNS01-YYMMDD-HHMMSS,AU-AWNS01-YYMMDD-HHMMSS,14064,257
A18,B18,AW15_AU_PB01,PB01,AW15_AU_PB1,AU-AWPB01-YYMMDD-HHMMSS,AU-AWPB01-YYMMDD-HHMMSS,13776,252
A18,B18,AW15_AU_PH01,PH01,AW15_AU_PH1,AU-AWPH01-YYMMDD-HHMMSS,AU-AWPH01-YYMMDD-HHMMSS,5424,99
A18,B18,AW15_AU_WT01,WT01,AW15_AU_WT1,AU-AWWT01-YYMMDD-HHMMSS,AU-AWWT01-YYMMDD-HHMMSS,13792,252
,B13,BF07_AU_BF01,BF01,BF07_AU_02,AU-BF02-YYMMDD-HHMMSS,AU-BFBF01-YYMMDD-HHMMSS,10153,92.9
,B13,BF07_AU_BF02,BF02,BF07_AU_03,AU-BF03-YYMMDD-HHMMSS,AU-BFBF02-YYMMDD-HHMMSS,10153,92.9
,B13,BF07_AU_BF03,BF03,BF07_AU_04,AU-BF04-YYMMDD-HHMMSS,AU-BFBF03-YYMMDD-HHMMSS,10153,92.9
,B13,BF07_AU_BF04,BF04,BF07_AU_05,AU-BF05-YYMMDD-HHMMSS,AU-BFBF04-YYMMDD-HHMMSS,10153,92.9
